"","Month","Year","U.S. merchandise exports to the World","U.S. agricultural exports to the World","Bulk","Corn","Cotton","Rice","Soybeans","Tobacco","Wheat","Intermediates","Soymeal","Soybean & Vegetable Oil","Feeds & Fodders","Distillers Grain","Hides & Skins","Consumer Oriented","Tree Nuts","Dairy Products","Prepared Food","Fresh & Processed Fruit","Fresh & Processed Vegetables","Juices & Beverages","Beef & Beef Products","Pork & Pork Products","Poultry Meat & Products","Wine & Beer","Agricultural Related 5/","Season"
"261","9","1991","108.33568572998047","108.84162139892578","112.36040496826172","108.3099365234375","122.17594146728516","107.19204711914062","110.861328125","115.20314788818359","117.91721343994141","111.28730010986328","135.13426208496094","107.70722198486328","106.09054565429688","107.10462188720703","101.76847076416016","105.62997436523438","105.74763488769531","106.28232574462891","105.20042419433594","102.76646423339844","99.432914733886719","102.62126922607422","103.68091583251953","108.97190856933594","124.20710754394531","98.902023315429688","103.88689422607422","Autumn"
"262","10","1991","108.49618530273438","108.35065460205078","111.71525573730469","107.15023803710938","122.45349884033203","106.38249969482422","110.28152465820312","114.44584655761719","117.26972198486328","111.12439727783203","134.87672424316406","108.22467803955078","105.36194610595703","106.72374725341797","101.60486602783203","104.96673583984375","105.180419921875","106.17177581787109","104.98381042480469","102.14638519287109","98.593879699707031","102.11984252929688","102.77931976318359","107.33360290527344","123.57595825195312","98.248847961425781","103.95138549804688","Autumn"
"263","11","1991","106.5711669921875","107.35041046142578","110.98749542236328","106.54991149902344","121.3677978515625","105.36193084716797","109.88592529296875","111.99177551269531","116.40073394775391","109.86595153808594","133.839111328125","107.11196136474609","104.54257965087891","105.86591339111328","101.2537841796875","104.03076934814453","103.24842071533203","105.1632080078125","104.20586395263672","101.40322113037109","98.135093688964844","101.44842529296875","101.88145446777344","106.44562530517578","122.20655059814453","96.849166870117188","102.27259063720703","Autumn"
"264","12","1991","105.96714019775391","106.81571197509766","110.12220001220703","105.79390716552734","120.67864990234375","104.59053802490234","109.28886413574219","109.78861236572266","114.89508056640625","109.08747863769531","132.84130859375","106.22712707519531","104.03863525390625","105.10201263427734","100.9090576171875","103.82254028320312","101.91275787353516","104.49015045166016","104.61383819580078","101.54962921142578","98.666282653808594","101.93422698974609","101.30034637451172","105.84552001953125","121.07823181152344","96.254478454589844","102.09994506835938","Winter"
"265","1","1992","105.88335418701172","106.70602416992188","109.17630767822266","104.43222045898438","119.51676940917969","103.57033538818359","109.03064727783203","111.12506866455078","112.62606048583984","108.76632690429688","132.05845642089844","105.92572784423828","103.41650390625","104.42242431640625","100.72100067138672","104.54317474365234","102.14501190185547","104.16880035400391","104.80597686767578","101.73981475830078","98.507591247558594","102.50352478027344","102.14368438720703","107.08012390136719","127.86054229736328","96.544502258300781","102.28974914550781","Winter"
"266","2","1992","106.73641204833984","107.50804901123047","109.68357849121094","105.09912872314453","119.57035827636719","104.22792816162109","109.41459655761719","112.62053680419922","113.35201263427734","109.40061187744141","132.59034729003906","106.72219085693359","104.11222076416016","104.77008056640625","101.01727294921875","105.56618499755859","103.05989837646484","104.24859619140625","106.08922576904297","102.93795776367188","100.14679718017578","104.24735260009766","102.85382080078125","107.9522705078125","127.57061767578125","97.994407653808594","103.58573913574219","Winter"
"267","3","1992","108.36398315429688","109.09197235107422","111.78558349609375","106.4844970703125","120.44795227050781","106.09506988525391","110.12090301513672","115.14942932128906","121.69630432128906","110.50990295410156","133.36436462402344","107.39810943603516","105.34940338134766","105.36980438232422","101.61515808105469","106.74887847900391","104.55268859863281","104.75328826904297","107.20684051513672","104.06282043457031","101.45791625976562","105.53972625732422","103.91957092285156","109.57459259033203","127.99689483642578","99.694847106933594","105.54400634765625","Spring"
"268","4","1992","107.87335205078125","108.70421600341797","111.46485137939453","106.05536651611328","120.60285186767578","105.93605041503906","109.85452270507812","114.68955230712891","121.08011627197266","110.06040954589844","132.70658874511719","107.06820678710938","104.87647247314453","104.86438751220703","101.40809631347656","106.31700897216797","103.97647094726562","104.41302490234375","106.73988342285156","103.52577972412109","101.01332092285156","105.096435546875","103.58964538574219","109.28601837158203","127.83354187011719","98.795013427734375","105.18212127685547","Spring"
"269","5","1992","107.08972930908203","108.32540893554688","110.91105651855469","105.1812744140625","120.84146881103516","105.48771667480469","109.52853393554688","113.97437286376953","119.69545745849609","109.64888000488281","132.40617370605469","106.65921020507812","104.36677551269531","104.80018615722656","101.09834289550781","106.30309295654297","103.38835906982422","104.32143402099609","106.77523040771484","103.43283081054688","101.05756378173828","105.24365997314453","103.66229248046875","109.08908081054688","129.28825378417969","98.074386596679688","104.2252197265625","Spring"
"270","6","1992","106.484619140625","107.73658752441406","110.23712921142578","104.52986907958984","121.14464569091797","105.09200286865234","108.92996978759766","112.14041900634766","118.09626770019531","109.10449981689453","131.80197143554688","105.86448669433594","103.85390472412109","104.56183624267578","100.69716644287109","105.83743286132812","102.34439086914062","104.15645599365234","106.47456359863281","102.91165924072266","100.52119445800781","104.71683502197266","103.47972106933594","108.38191986083984","129.74552917480469","97.062507629394531","103.44139099121094","Summer"
"271","7","1992","105.12211608886719","106.94830322265625","109.44684600830078","104.25653839111328","120.53826904296875","104.86617279052734","108.03607940673828","109.56709289550781","116.79370880126953","108.06122589111328","130.53941345214844","104.65636444091797","103.14602661132812","103.79445648193359","99.895645141601562","105.33052062988281","100.48715972900391","103.48644256591797","105.90258026123047","102.34626007080078","100.07714080810547","103.93955993652344","103.26160430908203","108.62267303466797","130.95059204101562","95.597991943359375","102.14680480957031","Summer"
"272","8","1992","104.57766723632812","106.7918701171875","109.11255645751953","104.39903259277344","119.86349487304688","104.75218963623047","107.6243896484375","108.66065216064453","116.28319549560547","107.5848388671875","129.75843811035156","103.95375061035156","102.97886657714844","103.28108215332031","99.668556213378906","105.59696960449219","99.85809326171875","103.17878723144531","105.91443634033203","102.50434112548828","100.1728515625","103.98603057861328","103.84251403808594","109.56353759765625","133.85162353515625","95.203994750976562","101.69989776611328","Summer"
"273","9","1992","105.54829406738281","107.50782012939453","108.97083282470703","103.18286895751953","119.47304534912109","104.47164154052734","107.95400238037109","109.6510009765625","116.53773498535156","108.20638275146484","130.31288146972656","104.74832916259766","102.91288757324219","103.45439910888672","100.09723663330078","107.06303405761719","100.78032684326172","103.52308654785156","107.51409149169922","103.64100646972656","101.32413482666016","105.82525634765625","104.86765289306641","110.43259429931641","140.47500610351562","96.987556457519531","102.93052673339844","Autumn"
"274","10","1992","107.33548736572266","108.5712890625","109.4537353515625","103.17111206054688","119.60062408447266","105.11988067626953","108.52187347412109","111.34058380126953","117.26636505126953","109.44267272949219","131.33758544921875","106.01261901855469","103.56312561035156","104.27499389648438","100.94506072998047","108.37122344970703","102.76660919189453","104.27982330322266","109.16844177246094","105.02942657470703","102.71958923339844","107.54288482666016","105.55101013183594","110.68223571777344","141.43817138671875","100.25705718994141","104.83733367919922","Autumn"
"275","11","1992","109.65437316894531","109.92792510986328","110.66283416748047","104.30397796630859","120.74386596679688","106.3695068359375","109.74580383300781","114.2078857421875","118.27895355224609","111.04488372802734","132.82838439941406","107.97733306884766","105.11186981201172","105.42494964599609","102.02743530273438","109.38058471679688","105.42743682861328","104.85619354248047","110.59359741210938","106.59178924560547","104.31159973144531","109.34527587890625","105.63133239746094","110.78990173339844","137.20640563964844","103.31771850585938","107.42214965820312","Autumn"
"276","12","1992","109.49650573730469","109.95782470703125","111.09710693359375","104.00714874267578","121.38892364501953","105.84584808349609","111.20027923583984","113.64427947998047","117.90430450439453","110.90830993652344","132.25479125976562","108.04737091064453","105.23867797851562","105.67783355712891","103.29319000244141","109.00614166259766","105.25253295898438","104.56845855712891","110.40628051757812","106.51770782470703","104.43009185791016","109.30182647705078","104.8731689453125","110.08515167236328","134.84268188476562","103.19602203369141","107.69478607177734","Winter"
"277","1","1993","110.00993347167969","110.09332275390625","110.83521270751953","104.17376708984375","120.66969299316406","106.21678161621094","110.57115173339844","114.51935577392578","117.69966888427734","111.11985778808594","132.30274963378906","108.68227386474609","105.33829498291016","105.45098114013672","103.0772705078125","109.35930633544922","105.99733734130859","104.43904876708984","110.80750274658203","106.98571014404297","105.01154327392578","109.96427154541016","104.95391082763672","110.38458251953125","134.07594299316406","104.20758056640625","108.3236083984375","Winter"
"278","2","1993","110.10732269287109","109.56577301025391","110.37456512451172","103.10295867919922","120.48405456542969","105.67206573486328","110.14716339111328","115.0859375","117.8155517578125","110.95674896240234","132.018310546875","108.68599700927734","104.87869262695312","105.30473327636719","103.11416625976562","108.47121429443359","106.42721557617188","103.82081604003906","109.98573303222656","106.25421142578125","103.88217163085938","109.00820159912109","103.77815246582031","108.48519134521484","132.3968505859375","104.85899353027344","108.17809295654297","Winter"
"279","3","1993","109.92452239990234","108.93009948730469","109.68319702148438","101.92654418945312","120.04756164550781","104.99451446533203","109.03665924072266","114.91205596923828","118.36386108398438","110.58577728271484","131.60142517089844","108.95521545410156","103.9302978515625","104.69285583496094","102.39701080322266","107.80647277832031","107.23102569580078","103.35861206054688","109.44473266601562","105.69514465332031","103.04831695556641","108.26570892333984","102.86220550537109","106.78473663330078","131.43209838867188","104.37469482421875","107.40137481689453","Spring"
"280","4","1993","108.66278839111328","107.75140380859375","107.95296478271484","100.28872680664062","118.78414154052734","103.35106658935547","107.61271667480469","112.69732666015625","115.09193420410156","109.59387969970703","131.12384033203125","108.1832275390625","102.75926208496094","103.75510406494141","101.36832427978516","107.15341186523438","105.39723205566406","102.91181182861328","109.53359222412109","105.17383575439453","102.87296295166016","108.39413452148438","102.01066589355469","105.09175109863281","131.086181640625","102.63801574707031","106.04814910888672","Spring"
"281","5","1993","108.71187591552734","107.58502197265625","107.39617919921875","99.844718933105469","118.505615234375","103.04766845703125","107.18045806884766","112.81621551513672","113.27588653564453","109.67107391357422","131.62416076660156","108.29847717285156","102.58621978759766","103.81901550292969","100.90534973144531","107.24200439453125","105.58258056640625","103.13288116455078","109.80793762207031","105.25160980224609","102.89616394042969","108.65968322753906","102.01103973388672","104.76398468017578","131.47357177734375","102.4447021484375","105.97669982910156","Spring"
"282","6","1993","109.15154266357422","107.19609069824219","106.72581481933594","98.879852294921875","118.67724609375","101.34425354003906","106.71138000488281","113.11732482910156","111.83885192871094","109.60029602050781","131.29652404785156","108.31106567382812","102.33901977539062","103.80873107910156","100.63462066650391","106.75599670410156","106.33731842041016","102.76535034179688","109.99008941650391","105.27176666259766","102.96399688720703","109.02780914306641","100.91738128662109","102.76950073242188","127.13558959960938","103.20700073242188","106.36222076416016","Summer"
"283","7","1993","109.77934265136719","107.26478576660156","106.79283142089844","99.143905639648438","118.84037017822266","101.82962036132812","106.48726654052734","113.90319061279297","111.85780334472656","110.01126098632812","131.90237426757812","109.10413360595703","102.56851196289062","103.97605895996094","100.80924224853516","106.49839019775391","107.57179260253906","102.61112976074219","110.08979034423828","105.36490631103516","103.13857269287109","109.16136932373047","100.27011108398438","101.60977172851562","123.16004180908203","104.03514099121094","106.97554779052734","Summer"
"284","8","1993","110.01133728027344","107.14194488525391","106.37628173828125","98.302848815917969","118.89688873291016","103.11031341552734","105.89073944091797","113.48026275634766","111.69661712646484","110.23861694335938","132.87669372558594","110.09500885009766","102.18403625488281","104.08582305908203","100.71804809570312","106.44758605957031","107.61563110351562","102.50347900390625","111.05448913574219","105.73213958740234","103.88963317871094","110.07105255126953","99.491050720214844","99.821296691894531","121.13198089599609","104.56830596923828","107.0653076171875","Summer"
"285","9","1993","109.13579559326172","106.67482757568359","105.82772827148438","98.538177490234375","117.71657562255859","103.15470886230469","105.05048370361328","110.69081878662109","111.38432312011719","109.56488037109375","132.58998107910156","109.04808807373047","101.95391845703125","103.5198974609375","99.917251586914062","106.20832061767578","105.39752197265625","102.26190948486328","111.30713653564453","105.83722686767578","104.57070922851562","110.26465606689453","99.177810668945312","99.931816101074219","119.21207427978516","103.87826538085938","106.45006561279297","Autumn"
"286","10","1993","109.63751220703125","106.91140747070312","105.99529266357422","99.205398559570312","117.37877655029297","103.80481719970703","104.71497344970703","110.91315460205078","112.18061828613281","109.94445037841797","133.37562561035156","109.45793914794922","102.390380859375","103.63866424560547","99.674842834472656","106.32389068603516","105.63643646240234","102.47396087646484","111.72660064697266","106.19524383544922","105.24006652832031","110.79806518554688","99.103187561035156","99.869392395019531","116.46857452392578","104.79119873046875","107.10193634033203","Autumn"
"287","11","1993","110.08409118652344","106.92887878417969","106.01255035400391","99.707221984863281","117.10812377929688","104.38072967529297","104.33875274658203","111.91506958007812","112.11138916015625","110.19005584716797","133.49922180175781","109.9293212890625","102.56868743896484","103.70803833007812","99.430282592773438","106.15081024169922","106.54425048828125","102.423095703125","111.41959381103516","106.03260040283203","104.99720764160156","110.49573516845703","98.998893737792969","99.725395202636719","114.65501403808594","105.17423248291016","107.39413452148438","Autumn"
"288","12","1993","109.79071044921875","106.60480499267578","105.4805908203125","99.726913452148438","116.42397308349609","104.49861907958984","103.52273559570312","110.56109619140625","111.52015686035156","109.72158813476562","132.751953125","109.77785491943359","102.46099090576172","103.00180816650391","98.733123779296875","105.97673034667969","106.50511169433594","101.64228057861328","111.66425323486328","106.15395355224609","105.61612701416016","111.03870391845703","98.514350891113281","99.300880432128906","112.12985992431641","105.14547729492188","107.52548980712891","Winter"
"289","1","1994","112.99341583251953","112.99687194824219","117.84029388427734","101.39883422851562","132.33393859863281","105.25772094726562","130.85516357421875","115.92040252685547","111.61907196044922","113.911376953125","132.04008483886719","113.28335571289062","107.77140045166016","112.19107818603516","117.87238311767578","107.37004089355469","108.51802825927734","104.29275512695312","111.88345336914062","107.23481750488281","106.22623443603516","111.50785827636719","98.362205505371094","101.98922729492188","116.56349182128906","106.42945861816406","114.39619445800781","Winter"
"290","2","1994","113.10775756835938","112.66804504394531","116.80876922607422","99.617652893066406","134.23167419433594","105.16961669921875","129.53842163085938","115.71395874023438","109.80905914306641","113.80361175537109","131.90946960449219","113.45631408691406","107.03528594970703","112.25720977783203","116.75209045410156","107.54513549804688","108.54367828369141","103.94757843017578","113.02690887451172","107.57261657714844","107.08072662353516","112.76766204833984","97.916099548339844","100.46026611328125","116.80722045898438","106.9453125","114.27555084228516","Winter"
"291","3","1994","113.59636688232422","113.23805999755859","116.90505218505859","99.8321533203125","135.67515563964844","106.41967010498047","128.93074035644531","115.40106201171875","109.49246978759766","114.53300476074219","132.94961547851562","113.78679656982422","107.26200103759766","113.4610595703125","116.25957489013672","108.65043640136719","108.54771423339844","105.33830261230469","114.45878601074219","108.46546173095703","108.39496612548828","113.9024658203125","99.298873901367188","101.33876037597656","118.75935363769531","107.44449615478516","114.28846740722656","Spring"
"292","4","1994","114.06072998046875","113.50897979736328","116.93812561035156","99.525047302246094","139.60636901855469","107.52687835693359","128.149658203125","115.90474700927734","108.66346740722656","115.177978515625","133.69367980957031","115.15074920654297","107.38198089599609","114.25963592529297","115.48423767089844","109.03585052490234","109.44119262695312","105.72239685058594","115.29418182373047","108.81425476074219","109.08407592773438","114.68196105957031","99.491233825683594","100.89585876464844","118.59062957763672","107.64018249511719","114.34304809570312","Spring"
"293","5","1994","112.84450531005859","112.45550537109375","115.64638519287109","99.094223022460938","137.75521850585938","106.79634094238281","126.28719329833984","114.00135803222656","107.50143432617188","114.01675415039062","132.47109985351562","114.25677490234375","106.52130889892578","112.92691802978516","114.0538330078125","108.27975463867188","108.05708312988281","104.66133880615234","114.73603820800781","108.19637298583984","108.77070617675781","114.16379547119141","98.875190734863281","100.22572326660156","117.14443206787109","106.62447357177734","113.23622131347656","Spring"
"294","6","1994","111.82579803466797","111.89026641845703","114.85147857666016","99.26507568359375","135.05172729492188","106.53095245361328","125.18205261230469","112.68921661376953","106.7283935546875","113.48724365234375","132.31517028808594","113.83986663818359","106.14278411865234","112.57714080810547","113.25208282470703","108.11225891113281","107.00060272216797","104.59152984619141","114.61595153808594","108.08871459960938","108.85358428955078","114.05036163330078","99.118850708007812","100.13689422607422","116.80693817138672","106.29425811767578","112.00743103027344","Summer"
"295","7","1994","110.82285308837891","110.64768981933594","113.104736328125","97.903907775878906","132.97210693359375","105.48899841308594","123.20346069335938","110.59768676757812","104.68473815917969","112.43962860107422","131.25462341308594","112.85210418701172","104.76322937011719","111.56633758544922","111.77590179443359","107.31370544433594","105.19051361083984","104.0947265625","114.10281372070312","107.26943969726562","107.98796081542969","113.19314575195312","98.494583129882812","99.047195434570312","117.1142578125","105.34900665283203","110.61808013916016","Summer"
"296","8","1994","110.29301452636719","110.12176513671875","112.12514495849609","97.850944519042969","131.65777587890625","105.35990142822266","121.58477020263672","110.07496643066406","103.32682037353516","111.94129180908203","130.915283203125","112.29928588867188","104.42281341552734","110.751953125","110.49171447753906","107.21341705322266","105.00290679931641","103.59669494628906","113.83563995361328","107.09098052978516","107.95645141601562","113.10111236572266","98.529876708984375","99.314338684082031","117.17169189453125","105.24447631835938","110.12104797363281","Summer"
"297","9","1994","109.11798858642578","109.02532196044922","110.94449615478516","97.334808349609375","130.508056640625","104.84268951416016","119.66028594970703","109.03622436523438","102.33467102050781","111.02227020263672","130.37005615234375","111.26598358154297","103.50580596923828","109.77368927001953","109.0709228515625","106.24502563476562","104.10865783691406","102.89958953857422","112.64981842041016","106.03153991699219","106.71486663818359","111.74208068847656","97.89947509765625","98.59356689453125","116.51904296875","104.03856658935547","108.58574676513672","Autumn"
"298","10","1994","108.05179595947266","108.00199890136719","109.61223602294922","96.786262512207031","128.33647155761719","104.07267761230469","117.81403350830078","107.42333221435547","101.19979858398438","109.97952270507812","129.32347106933594","110.27669525146484","102.58153533935547","108.71998596191406","107.80728149414062","105.59554290771484","102.82219696044922","102.19197845458984","112.18555450439453","105.49043273925781","106.33678436279297","111.26210784912109","97.466827392578125","97.938758850097656","115.48077392578125","103.03363800048828","107.36752319335938","Autumn"
"299","11","1994","108.05410003662109","107.57369232177734","108.62480926513672","96.498832702636719","126.74822998046875","103.80509185791016","116.41257476806641","107.67037963867188","99.687202453613281","109.67988586425781","128.57272338867188","110.13572692871094","102.19893646240234","108.18961334228516","106.93136596679688","105.565185546875","103.00978088378906","101.673095703125","112.35145568847656","105.58016967773438","106.57949829101562","111.62100982666016","97.418052673339844","97.576454162597656","114.64274597167969","103.51876068115234","107.27900695800781","Autumn"
"300","12","1994","110.38578796386719","109.41091156005859","109.82206726074219","99.246063232421875","126.60407257080078","106.67806243896484","116.37175750732422","109.09868621826172","100.2901611328125","112.17190551757812","131.41928100585938","112.34680938720703","103.90895843505859","111.05766296386719","106.62912750244141","107.91221618652344","104.01226806640625","105.05120086669922","114.87940979003906","107.48307037353516","108.86274719238281","113.61885833740234","100.81465911865234","100.27516174316406","116.54930877685547","105.62722778320312","108.52182769775391","Winter"
"301","1","1995","114.57907104492188","113.28732299804688","113.12007141113281","104.13459014892578","129.80107116699219","112.73938751220703","117.77922058105469","110.22724914550781","102.34219360351562","117.55808258056641","137.994873046875","116.0284423828125","107.09899139404297","118.69428253173828","106.92786407470703","112.48615264892578","104.37652587890625","113.58663177490234","119.70278167724609","110.71780395507812","112.38581085205078","116.33460998535156","107.95158386230469","106.0048828125","123.56833648681641","108.12301635742188","109.66960906982422","Winter"
"302","2","1995","113.71382141113281","112.40564727783203","112.09005737304688","103.51170349121094","128.52122497558594","111.90385437011719","116.47299957275391","108.8995361328125","101.45089721679688","116.75487518310547","137.3839111328125","115.16230773925781","106.38709259033203","117.78857421875","106.10870361328125","111.74269104003906","103.4698486328125","113.06180572509766","118.87458038330078","110.03296661376953","111.58837127685547","115.40125274658203","107.29524993896484","105.35919189453125","122.85826873779297","107.40785980224609","108.71541595458984","Winter"
"303","3","1995","113.9058837890625","112.36203002929688","111.64749145507812","102.65209197998047","128.69163513183594","112.16805267333984","115.69319152832031","106.56654357910156","101.04319763183594","117.54476165771484","139.02996826171875","115.5174560546875","105.77687072753906","119.77176666259766","105.29547119140625","112.09833526611328","101.91239929199219","115.72315979003906","119.87821197509766","109.94364166259766","111.50750732421875","115.08834075927734","108.38212585449219","104.80269622802734","125.59535980224609","106.95133209228516","107.44268798828125","Spring"
"304","4","1995","109.93280029296875","108.09573364257812","107.33283233642578","97.155021667480469","124.89116668701172","106.748779296875","112.39948272705078","103.53858947753906","97.045684814453125","113.03219604492188","134.27784729003906","112.11833190917969","101.5869140625","114.31397247314453","103.07545471191406","107.63331604003906","99.457168579101562","110.12178039550781","115.74852752685547","106.24726104736328","107.40547180175781","111.5850830078125","102.49250793457031","98.573440551757812","120.17459869384766","103.91252899169922","104.36161804199219","Spring"
"305","5","1995","108.19952392578125","106.16704559326172","105.21630096435547","95.843040466308594","122.01598358154297","104.87592315673828","109.90096282958984","102.85823059082031","95.273857116699219","110.83594512939453","131.86386108398438","110.62696075439453","100.15328979492188","110.96149444580078","101.10800170898438","105.73954010009766","98.931709289550781","106.86167907714844","113.80933380126953","104.9398193359375","106.09428405761719","110.41905975341797","99.890762329101562","96.581840515136719","115.61183929443359","102.87673187255859","103.36770629882812","Spring"
