"","Month","Year","U.S. agricultural imports","Bulk","Coffee, Unroasted","Rubber & Allied Products","Cocoa Beans","Raw Beet & Cane Sugar","Intermediates","Oils (ex. Soybean)","Live Animals","Sugars, Sweeteners, Beverage Bases","Cocoa Paste &  Butter","Consumer-Oriented","Wine & Beer","Fresh & Processed Fruit","Fresh & Processed Vegetables","Prepared & Snack Foods","Chocolate & Cocoa Products","Beef & Beef Products","Agricultural Related Products","Fish Products","Forest Products","Distilled Spirits","Season"
"283","7","1993","127.71490478515625","131.79112243652344","140.84490966796875","93.531166076660156","371.79348754882812","131.88493347167969","108.02011871337891","99.214424133300781","105.36273193359375","106.06917572021484","105.55860900878906","123.83091735839844","103.17100524902344","189.62649536132812","109.49768829345703","105.32509613037109","105.47364807128906","115.30826568603516","141.09333801269531","180.42405700683594","120.35910797119141","104.14434051513672","Summer"
"284","8","1993","128.64163208007812","133.7392578125","144.56369018554688","93.615402221679688","375.193603515625","135.26435852050781","108.98444366455078","100.31361389160156","106.72695159912109","107.56981658935547","105.63457489013672","124.54213714599609","103.51636505126953","189.95950317382812","109.94073486328125","106.1346435546875","106.14265441894531","118.68791198730469","141.74932861328125","180.9364013671875","121.23991394042969","104.58468627929688","Summer"
"285","9","1993","127.95652008056641","133.39816284179688","144.36553955078125","93.524429321289062","366.65426635742188","135.56085205078125","108.20101928710938","99.903579711914062","106.97270965576172","107.55606842041016","103.45542144775391","123.76217651367188","101.43666076660156","189.48417663574219","109.41683197021484","105.70816802978516","104.93027496337891","120.38167572021484","140.65013122558594","179.83354187011719","121.16812896728516","101.75260162353516","Autumn"
"286","10","1993","128.36204528808594","134.23588562011719","145.50929260253906","93.742889404296875","371.80862426757812","136.47944641113281","108.74353790283203","100.72646331787109","107.54114532470703","107.85130310058594","104.57888793945312","124.26045989990234","102.36000823974609","189.26840209960938","109.68211364746094","106.27585601806641","105.81756591796875","120.44670104980469","140.761474609375","179.27293395996094","121.22349548339844","102.78022003173828","Autumn"
"287","11","1993","128.63465881347656","134.28607177734375","145.68185424804688","93.621803283691406","378.05422973632812","136.21894836425781","109.07780456542969","100.806640625","107.34707641601562","108.07003021240234","106.19956207275391","124.953369140625","104.33869934082031","189.60887145996094","110.13764190673828","106.63724517822266","106.72712707519531","119.90324401855469","140.59324645996094","178.60348510742188","120.45464324951172","104.32123565673828","Autumn"
"288","12","1993","128.39163208007812","133.91012573242188","144.72128295898438","93.344779968261719","376.91354370117188","134.67416381835938","109.02574157714844","101.06939697265625","107.623291015625","106.98638153076172","106.26068878173828","124.58012390136719","104.14694213867188","189.04953002929688","109.07255554199219","106.54413604736328","106.62457275390625","119.69470977783203","140.41462707519531","178.3388671875","120.71797943115234","103.43846130371094","Winter"
"289","1","1994","132.82733154296875","138.74110412597656","143.95719909667969","95.43927001953125","518.17449951171875","133.14126586914062","111.69432830810547","102.09363555908203","107.08895111083984","106.75090026855469","118.29650115966797","126.90528106689453","104.39882659912109","192.93632507324219","110.90726470947266","108.71180725097656","111.48038482666016","118.09018707275391","149.64509582519531","190.72648620605469","132.56623840332031","103.65850830078125","Winter"
"290","2","1994","133.10516357421875","138.44842529296875","143.04173278808594","94.597747802734375","501.68356323242188","132.52859497070312","112.53366851806641","103.05091857910156","109.17742919921875","107.34764099121094","117.58901214599609","127.00478363037109","103.84884643554688","192.17243957519531","111.46105194091797","109.66469573974609","112.01953125","118.023193359375","150.0762939453125","190.27577209472656","133.91702270507812","103.75045776367188","Winter"
"291","3","1994","133.552734375","136.74716186523438","137.95185852050781","94.288261413574219","484.48880004882812","132.65730285644531","112.92918395996094","103.21630859375","111.79988098144531","110.341796875","115.34604644775391","127.96488952636719","104.01748657226562","193.99929809570312","114.52276611328125","111.13969421386719","112.28236389160156","119.55615234375","150.23616027832031","190.32307434082031","134.55830383300781","103.45238494873047","Spring"
"292","4","1994","133.93962097167969","137.23883056640625","137.98260498046875","94.238426208496094","481.3553466796875","132.96119689941406","113.14732360839844","103.09489440917969","113.36524200439453","111.55937194824219","114.95724487304688","128.52021789550781","103.95095062255859","194.29466247558594","115.84166717529297","112.06890869140625","112.88555145263672","120.1424560546875","150.28984069824219","189.83512878417969","134.90855407714844","103.68875885009766","Spring"
